iter	Passed	Remaining
489	620	645
490	621	644
491	622	642
492	623	641
493	624	639
494	626	638
495	627	637
496	628	636
497	629	634
498	630	633
499	631	631
500	632	630
501	634	629
502	635	627
503	636	626
504	637	624
505	638	623
506	639	622
507	641	620
508	642	619
509	643	618
510	645	617
511	646	615
512	647	614
513	648	613
514	649	611
515	650	610
516	651	608
517	652	607
518	653	605
519	655	604
520	656	603
521	657	602
522	658	600
523	659	599
524	661	598
525	662	596
526	663	595
527	664	593
528	665	592
529	666	591
530	667	589
531	668	588
532	669	586
533	671	585
534	672	584
535	673	583
536	674	581
537	675	580
538	676	578
539	677	577
540	678	575
541	679	574
542	680	573
543	682	571
544	683	570
545	684	569
546	685	568
547	687	566
548	688	565
549	690	564
550	691	563
551	692	562
552	694	561
553	695	559
554	696	558
555	697	556
556	698	555
557	699	554
558	700	552
559	702	551
560	703	550
561	704	549
562	706	548
563	707	546
564	708	545
565	709	543
566	710	542
567	711	540
568	712	539
569	713	538
570	714	536
571	716	535
572	717	534
573	719	533
574	720	532
575	721	531
576	723	530
577	724	528
578	725	527
579	726	526
580	728	525
581	729	523
582	730	522
583	732	521
584	733	520
585	736	520
586	738	519
587	739	518
588	741	517
589	742	516
590	744	514
591	745	513
592	746	512
593	747	511
594	749	509
595	750	508
596	751	507
597	752	505
598	753	504
599	754	503
600	755	501
601	756	500
602	757	498
603	759	497
604	760	496
605	761	495
606	762	493
607	763	492
608	764	491
609	765	489
610	767	488
611	768	487
612	769	485
613	770	484
614	771	482
615	772	481
616	773	480
617	775	479
618	776	477
619	777	476
620	778	475
621	779	473
622	780	472
623	782	471
624	783	469
625	784	468
626	785	467
627	786	466
628	787	464
629	789	463
630	790	462
631	791	461
632	792	459
633	793	458
634	794	456
635	796	455
636	797	454
637	798	453
638	799	451
639	800	450
640	801	448
641	802	447
642	803	446
643	805	445
644	806	443
645	807	442
646	809	441
647	810	440
648	811	438
649	812	437
650	813	435
651	814	434
652	815	433
653	816	431
654	817	430
655	818	429
656	819	428
657	821	426
658	822	425
659	823	424
660	824	422
661	825	421
662	826	420
663	827	418
664	829	417
665	830	416
666	831	415
667	832	413
668	833	412
669	835	411
670	836	410
671	837	408
672	838	407
673	839	406
674	840	404
675	841	403
676	842	402
677	843	400
678	845	399
679	846	398
680	848	397
681	849	396
682	850	394
683	852	393
684	853	392
685	854	391
686	855	389
687	856	388
688	857	387
689	858	385
690	859	384
691	860	383
692	862	381
693	863	380
694	864	379
695	866	378
696	867	377
697	868	375
698	869	374
699	870	373
700	871	371
701	872	370
702	873	369
703	874	367
704	875	366
705	877	365
706	878	364
707	879	362
708	881	361
709	882	360
710	883	359
711	884	357
712	885	356
713	886	355
714	887	353
715	889	352
716	890	351
717	891	349
718	892	348
719	893	347
720	895	346
721	896	345
722	897	343
723	898	342
724	899	341
725	900	339
726	901	338
727	902	337
728	903	336
729	904	334
730	905	333
731	907	332
732	908	330
733	909	329
734	910	328
735	911	326
736	912	325
737	913	324
738	914	322
739	915	321
740	916	320
741	917	319
742	918	317
743	919	316
744	920	315
745	921	313
746	923	312
747	924	311
748	925	310
749	927	309
750	928	307
751	929	306
752	930	305
753	931	303
754	932	302
755	933	301
756	934	299
757	935	298
758	936	297
759	937	296
760	939	294
761	940	293
762	941	292
763	942	291
764	943	289
765	944	288
766	946	287
767	947	286
768	948	284
769	949	283
770	950	282
771	951	280
772	952	279
773	953	278
774	954	277
775	956	276
776	957	274
777	958	273
778	959	272
779	960	270
780	961	269
781	962	268
782	963	266
783	964	265
784	965	264
785	966	263
786	968	261
787	969	260
788	971	259
789	972	258
790	973	257
791	974	255
792	975	254
793	976	253
794	977	252
795	979	250
796	980	249
797	981	248
798	983	247
799	984	246
800	986	244
801	987	243
802	988	242
803	989	241
804	990	240
805	992	238
806	993	237
807	994	236
808	995	235
809	997	234
810	999	232
811	1000	231
812	1002	230
813	1003	229
814	1004	228
815	1005	226
816	1007	225
817	1008	224
818	1009	223
819	1010	221
820	1012	220
821	1013	219
822	1015	218
823	1016	217
824	1017	215
825	1018	214
826	1019	213
827	1020	211
828	1021	210
829	1022	209
830	1023	208
831	1024	206
832	1025	205
833	1027	204
834	1028	203
835	1029	201
836	1030	200
837	1031	199
838	1032	198
839	1033	196
840	1034	195
841	1035	194
842	1036	193
843	1037	191
844	1038	190
845	1039	189
846	1040	187
847	1041	186
848	1042	185
849	1043	184
850	1045	182
851	1046	181
852	1047	180
853	1048	179
854	1049	177
855	1050	176
856	1051	175
857	1052	174
858	1053	172
859	1054	171
860	1055	170
861	1056	169
862	1058	168
863	1059	166
864	1060	165
865	1061	164
866	1062	163
867	1063	161
868	1064	160
869	1065	159
870	1067	158
871	1068	156
872	1069	155
873	1070	154
874	1072	153
875	1073	151
876	1074	150
877	1076	149
878	1077	148
879	1078	147
880	1079	145
881	1080	144
882	1081	143
883	1082	142
884	1084	140
885	1085	139
886	1086	138
887	1087	137
888	1089	135
889	1090	134
890	1091	133
891	1092	132
892	1093	130
893	1094	129
894	1095	128
895	1096	127
896	1097	126
897	1098	124
898	1099	123
899	1100	122
900	1102	121
901	1103	119
902	1104	118
903	1105	117
904	1107	116
905	1108	114
906	1109	113
907	1110	112
908	1111	111
909	1112	109
910	1113	108
911	1114	107
912	1115	106
913	1116	105
914	1118	103
915	1119	102
916	1120	101
917	1122	100
918	1123	99
919	1124	97
920	1125	96
921	1126	95
922	1127	94
923	1128	92
924	1130	91
925	1131	90
926	1133	89
927	1134	88
928	1135	86
929	1136	85
930	1137	84
931	1138	83
932	1140	81
933	1141	80
934	1142	79
935	1143	78
936	1144	76
937	1146	75
938	1147	74
939	1148	73
940	1149	72
941	1150	70
942	1152	69
943	1153	68
944	1154	67
945	1155	65
946	1156	64
947	1157	63
948	1158	62
949	1159	61
950	1160	59
951	1162	58
952	1164	57
953	1165	56
954	1166	54
955	1167	53
956	1168	52
957	1169	51
958	1170	50
959	1171	48
960	1172	47
961	1173	46
962	1174	45
963	1176	43
964	1177	42
965	1178	41
966	1179	40
967	1180	39
968	1181	37
969	1182	36
970	1183	35
971	1184	34
972	1185	32
973	1186	31
974	1187	30
975	1188	29
976	1189	28
977	1191	26
978	1192	25
979	1193	24
980	1194	23
981	1195	21
982	1196	20
983	1197	19
984	1198	18
985	1199	17
986	1200	15
987	1201	14
988	1202	13
989	1203	12
990	1205	10
991	1206	9
992	1207	8
993	1208	7
994	1209	6
995	1210	4
996	1211	3
997	1212	2
998	1213	1
999	1214	0
